Date_Param,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,12500.0,11850.0,16800.0,12850.0,14500.0,12800.0,13900.0,11850.0,12850.0,14250.0,11900.0,12800.0,13100.0,13350.0,13100.0,12850.0,12800.0,14550.0,13000.0,12950.0,13700.0,14350.0,13650.0,13150.0,13150.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,13050.0,12800.0
2022-01-02,12500.0,11850.0,16800.0,12850.0,14500.0,12800.0,13900.0,11850.0,12850.0,14250.0,11900.0,12800.0,13100.0,13350.0,13100.0,12850.0,12800.0,14550.0,13000.0,12950.0,13700.0,14350.0,13650.0,13150.0,13150.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,13050.0,12800.0
2022-01-03,12500.0,11800.0,16800.0,12850.0,14500.0,12800.0,13900.0,11850.0,12850.0,14250.0,11900.0,12800.0,13100.0,13350.0,13100.0,12850.0,12800.0,14550.0,13000.0,12950.0,13700.0,14350.0,13650.0,13150.0,13150.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,13050.0,12800.0
2022-01-04,12500.0,11850.0,16800.0,12850.0,14500.0,12950.0,13900.0,11850.0,12850.0,14250.0,11900.0,12800.0,13100.0,13350.0,13100.0,12850.0,12800.0,14550.0,13150.0,12950.0,13700.0,14350.0,13650.0,13150.0,13150.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,13050.0,12800.0
2022-01-05,12500.0,11850.0,16800.0,12850.0,14500.0,12950.0,13900.0,11850.0,12850.0,14250.0,11900.0,12850.0,13050.0,13350.0,13100.0,12850.0,12800.0,14550.0,13150.0,12950.0,13700.0,14350.0,13650.0,13150.0,13250.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,12900.0,12750.0
2022-01-06,12500.0,11850.0,16800.0,12850.0,14500.0,12950.0,13900.0,11850.0,12850.0,14250.0,11900.0,12850.0,13050.0,13350.0,13100.0,12850.0,12800.0,14550.0,13150.0,12950.0,13700.0,14350.0,13650.0,13150.0,13250.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,12900.0,12750.0
2022-01-07,12500.0,11850.0,16800.0,12850.0,14500.0,12950.0,13900.0,11850.0,12850.0,14250.0,11900.0,12850.0,13050.0,13350.0,13100.0,12850.0,12800.0,14550.0,13150.0,12950.0,13700.0,14350.0,13650.0,13150.0,13250.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,12900.0,12750.0
2022-01-08,12500.0,11850.0,16800.0,12850.0,14500.0,12950.0,13900.0,11850.0,12850.0,14250.0,11900.0,12850.0,13050.0,13350.0,13100.0,12850.0,12800.0,14550.0,13150.0,12950.0,13700.0,14350.0,13650.0,13150.0,13250.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,12900.0,12750.0
2022-01-09,12500.0,11850.0,16800.0,12850.0,14500.0,12950.0,13900.0,11850.0,12850.0,14250.0,11900.0,12850.0,13050.0,13350.0,13100.0,12850.0,12800.0,14550.0,13150.0,12950.0,13700.0,14350.0,13650.0,13150.0,13250.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,12900.0,12750.0
2022-01-10,12500.0,11850.0,16800.0,12850.0,14500.0,12950.0,13900.0,11850.0,12850.0,14250.0,11900.0,12850.0,13050.0,13350.0,13100.0,12850.0,12800.0,14550.0,13150.0,12950.0,13700.0,14350.0,13650.0,13150.0,13250.0,12200.0,10450.0,16250.0,13100.0,18600.0,12400.0,15150.0,12900.0,12850.0
