Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-02-13,65850.0,48100.0,35850.0,55750.0,55500.0,70150.0,72450.0,57700.0,74000.0,76800.0,65300.0,73550.0,76000.0,82500.0,67850.0,74750.0,67250.0,67200.0,75650.0,65400.0,72200.0,54600.0,77200.0,66050.0,94700.0,64400.0,44550.0,50950.0,56600.0,48450.0,39150.0,82200.0,82500.0,73400.0,70000.0
2026-02-14,65850.0,48100.0,35850.0,55750.0,55500.0,70150.0,72450.0,57700.0,74000.0,76800.0,65300.0,73550.0,76000.0,82500.0,67850.0,74750.0,67250.0,67200.0,75650.0,65400.0,72200.0,54600.0,77200.0,66050.0,94700.0,64400.0,44550.0,50950.0,56600.0,48450.0,39150.0,82200.0,82500.0,73400.0,70000.0
2026-02-15,65850.0,48100.0,35850.0,55750.0,55500.0,70150.0,72450.0,57700.0,74000.0,76800.0,65300.0,73550.0,76000.0,82500.0,67850.0,74750.0,67250.0,67200.0,75650.0,65400.0,72200.0,54600.0,77200.0,66050.0,94700.0,64400.0,44550.0,50950.0,56600.0,48450.0,39150.0,82200.0,82500.0,73400.0,70000.0
2026-02-16,66050.0,47650.0,35650.0,55750.0,55500.0,70250.0,72450.0,57700.0,74000.0,76800.0,65300.0,73550.0,76000.0,82500.0,67850.0,74750.0,67250.0,69200.0,75650.0,65400.0,72200.0,54600.0,77200.0,68950.0,94700.0,64400.0,44550.0,50950.0,59400.0,48450.0,39150.0,82200.0,82500.0,73400.0,70000.0
2026-02-17,66050.0,47650.0,36050.0,55750.0,55500.0,70250.0,72450.0,57700.0,74000.0,76800.0,65300.0,73550.0,76000.0,82500.0,67850.0,74750.0,67250.0,69700.0,73750.0,65400.0,72200.0,54600.0,77200.0,68950.0,94700.0,64400.0,44550.0,50950.0,59400.0,48450.0,39150.0,82200.0,82500.0,73400.0,70000.0
2026-02-18,68600.0,48150.0,39050.0,52250.0,55600.0,74000.0,67350.0,60900.0,78450.0,75200.0,61950.0,74050.0,79500.0,85500.0,67700.0,77900.0,69200.0,76850.0,85950.0,66650.0,70850.0,53150.0,77850.0,72300.0,100950.0,61900.0,54050.0,54700.0,59700.0,51850.0,41900.0,103750.0,85000.0,73950.0,73750.0
2026-02-19,68650.0,47350.0,37700.0,48150.0,55450.0,74250.0,70500.0,59450.0,78350.0,75200.0,61000.0,78500.0,80950.0,85500.0,69200.0,79150.0,69550.0,77050.0,86300.0,67100.0,70400.0,52700.0,77850.0,72700.0,101600.0,63750.0,54300.0,54700.0,59700.0,52150.0,41900.0,95000.0,85000.0,73950.0,77500.0
2026-02-20,71150.0,48100.0,35900.0,50500.0,55500.0,74250.0,76300.0,57150.0,78350.0,75200.0,61650.0,87000.0,83450.0,93400.0,75050.0,81400.0,78250.0,80250.0,96550.0,67100.0,71450.0,55000.0,75650.0,79150.0,103450.0,66900.0,56700.0,55950.0,60650.0,55950.0,42700.0,101250.0,85000.0,74050.0,80000.0
2026-02-21,71150.0,48100.0,35900.0,50500.0,55500.0,74250.0,76300.0,57150.0,78350.0,75200.0,61650.0,87000.0,83450.0,93400.0,75050.0,81400.0,78250.0,80250.0,96550.0,67100.0,71450.0,55000.0,75650.0,79150.0,103450.0,66900.0,56700.0,55950.0,60650.0,55950.0,42700.0,101250.0,85000.0,74050.0,80000.0
2026-02-22,71150.0,48100.0,35900.0,50500.0,55500.0,74250.0,76300.0,57150.0,78350.0,75200.0,61650.0,87000.0,83450.0,93400.0,75050.0,81400.0,78250.0,80250.0,96550.0,67100.0,71450.0,55000.0,75650.0,79150.0,103450.0,66900.0,56700.0,55950.0,60650.0,55950.0,42700.0,101250.0,85000.0,74050.0,80000.0
