Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2022-01-03,64100.0,40150.0,40200.0,49500.0,43650.0,51000.0,50000.0,42250.0,55000.0,68000.0,66250.0,71250.0,65700.0,66250.0,51950.0,63250.0,48650.0,71250.0,38500.0,49150.0,100000.0,54250.0,77150.0,79500.0,111400.0,50000.0,65000.0,68250.0,59500.0,57250.0,73750.0,102500.0,97500.0,77500.0,107500.0
2022-01-04,63950.0,40150.0,40200.0,49500.0,43650.0,51000.0,50000.0,42250.0,55000.0,68000.0,66250.0,71250.0,65700.0,66250.0,47400.0,63250.0,48650.0,71250.0,38500.0,49150.0,100000.0,54250.0,77150.0,79500.0,111400.0,50000.0,65000.0,68250.0,59500.0,57250.0,73750.0,102500.0,97500.0,77500.0,107500.0
2022-01-05,63050.0,40150.0,40200.0,49500.0,43650.0,51000.0,50000.0,42250.0,55000.0,68000.0,65000.0,71250.0,65700.0,66250.0,47400.0,63250.0,48650.0,45000.0,38500.0,49150.0,100000.0,54250.0,77150.0,79500.0,111400.0,50000.0,65000.0,65000.0,59500.0,57250.0,73750.0,102500.0,97500.0,77500.0,107500.0
2022-01-06,57650.0,36650.0,48100.0,52250.0,46350.0,54000.0,46500.0,42250.0,52500.0,64250.0,65000.0,68000.0,61050.0,43750.0,39700.0,52500.0,37500.0,50000.0,29250.0,47650.0,85000.0,48750.0,70400.0,76250.0,72500.0,40000.0,61250.0,65000.0,37500.0,44000.0,70000.0,102500.0,97500.0,62500.0,90000.0
2022-01-07,57650.0,36650.0,48100.0,52250.0,46350.0,54000.0,46500.0,42250.0,52500.0,64250.0,65000.0,68000.0,61050.0,43750.0,39700.0,52500.0,37500.0,50000.0,29250.0,47650.0,85000.0,48750.0,70400.0,76250.0,72500.0,40000.0,61250.0,65000.0,37500.0,44000.0,70000.0,102500.0,97500.0,62500.0,90000.0
2022-01-08,57650.0,36650.0,48100.0,52250.0,46350.0,54000.0,46500.0,42250.0,52500.0,64250.0,65000.0,68000.0,61050.0,43750.0,39700.0,52500.0,37500.0,50000.0,29250.0,47650.0,85000.0,48750.0,70400.0,76250.0,72500.0,40000.0,61250.0,65000.0,37500.0,44000.0,70000.0,102500.0,97500.0,62500.0,90000.0
2022-01-09,57650.0,36650.0,48100.0,52250.0,46350.0,54000.0,46500.0,42250.0,52500.0,64250.0,65000.0,68000.0,61050.0,43750.0,39700.0,52500.0,37500.0,50000.0,29250.0,47650.0,85000.0,48750.0,70400.0,76250.0,72500.0,40000.0,61250.0,65000.0,37500.0,44000.0,70000.0,102500.0,97500.0,62500.0,90000.0
2022-01-10,57650.0,36650.0,48100.0,52250.0,46350.0,54000.0,46500.0,42250.0,52500.0,64250.0,65000.0,68000.0,61050.0,43750.0,39700.0,52500.0,37500.0,50000.0,29250.0,47650.0,85000.0,48750.0,70400.0,76250.0,72500.0,40000.0,61250.0,65000.0,37500.0,44000.0,70000.0,102500.0,97500.0,62500.0,90000.0
2022-01-11,57550.0,36650.0,48100.0,52250.0,46350.0,54000.0,46500.0,42050.0,52500.0,64250.0,65000.0,68000.0,61050.0,43750.0,36000.0,52500.0,37500.0,50000.0,29250.0,47650.0,85000.0,48750.0,70400.0,76250.0,72500.0,40000.0,61250.0,65000.0,37500.0,44000.0,70000.0,102500.0,97500.0,62500.0,90000.0
2022-01-12,57150.0,36650.0,48100.0,52250.0,46350.0,54000.0,46500.0,42050.0,52500.0,64250.0,51250.0,68000.0,61050.0,43750.0,36000.0,52500.0,37500.0,50000.0,29250.0,47650.0,85000.0,48750.0,70400.0,76250.0,72500.0,40000.0,61250.0,65000.0,37500.0,44000.0,70000.0,102500.0,97500.0,62500.0,90000.0
2022-01-13,49500.0,36500.0,42600.0,47250.0,40500.0,57500.0,45000.0,42050.0,41250.0,48000.0,51250.0,51000.0,47700.0,41250.0,32200.0,37500.0,28200.0,37500.0,19250.0,46600.0,78250.0,31250.0,49750.0,61150.0,62500.0,50000.0,38250.0,59750.0,32500.0,33250.0,51250.0,109400.0,97500.0,61250.0,73750.0
2022-01-14,49500.0,36500.0,42600.0,47250.0,40500.0,57500.0,45000.0,42050.0,41250.0,48000.0,51250.0,51000.0,47700.0,41250.0,32200.0,37500.0,28200.0,37500.0,19250.0,46600.0,78250.0,31250.0,49750.0,61150.0,62500.0,50000.0,38250.0,59750.0,32500.0,33250.0,51250.0,109400.0,97500.0,61250.0,73750.0
2022-01-15,49500.0,36500.0,42600.0,47250.0,40500.0,57500.0,45000.0,42050.0,41250.0,48000.0,51250.0,51000.0,47700.0,41250.0,32200.0,37500.0,28200.0,37500.0,19250.0,46600.0,78250.0,31250.0,49750.0,61150.0,62500.0,50000.0,38250.0,59750.0,32500.0,33250.0,51250.0,109400.0,97500.0,61250.0,73750.0
2022-01-16,49500.0,36500.0,42600.0,47250.0,40500.0,57500.0,45000.0,42050.0,41250.0,48000.0,51250.0,51000.0,47700.0,41250.0,32200.0,37500.0,28200.0,37500.0,19250.0,46600.0,78250.0,31250.0,49750.0,61150.0,62500.0,50000.0,38250.0,59750.0,32500.0,33250.0,51250.0,109400.0,97500.0,61250.0,73750.0
2022-01-17,49500.0,36500.0,42600.0,47250.0,40500.0,57500.0,45000.0,42050.0,41250.0,48000.0,51250.0,51000.0,47700.0,41250.0,32200.0,37500.0,28200.0,37500.0,19250.0,46600.0,78250.0,31250.0,49750.0,61150.0,62500.0,50000.0,38250.0,59750.0,32500.0,33250.0,51250.0,109400.0,97500.0,61250.0,73750.0
2022-01-18,49400.0,36500.0,42600.0,47250.0,40500.0,57500.0,45000.0,39850.0,41250.0,48000.0,51250.0,51000.0,47700.0,41250.0,31050.0,37500.0,28200.0,37500.0,19250.0,46600.0,78250.0,31250.0,49750.0,61150.0,62500.0,50000.0,38250.0,59750.0,32500.0,33250.0,51250.0,109400.0,97500.0,61250.0,73750.0
2022-01-19,49400.0,36500.0,42600.0,47250.0,40500.0,57500.0,45000.0,39850.0,41250.0,48000.0,51250.0,51000.0,47700.0,41250.0,31050.0,37500.0,28200.0,37500.0,19250.0,46600.0,78250.0,31250.0,49750.0,61150.0,62500.0,50000.0,38250.0,59750.0,32500.0,33250.0,51250.0,109400.0,97500.0,61250.0,73750.0
