Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-02-13,23600.0,15100.0,18900.0,31200.0,32200.0,50000.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-14,23600.0,15100.0,18900.0,31200.0,32200.0,50000.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-15,23600.0,15100.0,18900.0,31200.0,32200.0,50000.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-16,23600.0,15100.0,18900.0,31200.0,32200.0,50000.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-17,23600.0,15100.0,18900.0,31200.0,32200.0,50000.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-18,23600.0,15100.0,18900.0,31200.0,32200.0,50000.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-19,23350.0,15100.0,18900.0,31200.0,32200.0,42500.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-20,23350.0,15100.0,18900.0,31200.0,32200.0,42500.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-21,23350.0,15100.0,18900.0,31200.0,32200.0,42500.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
2026-02-22,23350.0,15100.0,18900.0,31200.0,32200.0,42500.0,18000.0,36000.0,22500.0,31650.0,27250.0,33000.0,24450.0,16300.0,21350.0,18700.0,10000.0,15150.0,29000.0,24500.0,23350.0,30850.0,45000.0,10000.0,4750.0,18250.0,12000.0,5350.0,13750.0,17350.0,40000.0,23700.0,35150.0
